1, 'J. Lelevelio g. 6, Vilnius', '1', null, '4994', 'Gedimino'
2, 'J. Jasinskio g. 11, Vilnius', '1', null, '1572', 'Pamėnkalnio'
3, 'K. Kalinausko g. 21, Vilnius', '1', null, '1486', 'Taurakalnio'
4, 'S. Konarskio g. 27, Vilnius', '1', null, '3626', 'S. Konarskio'
5, 'Mindaugo g. 9, Vilnius', '1', null, '2252', 'Mindaugo'
6, 'T. Ševčenkos g. 31, Vilnius', '1', null, '2347', 'Vytenio'
7, 'Statybininkų g. 5, Vilnius', '1', null, '2740', 'Žemaitės'
8, 'Kauno g. 3, Vilnius', '1', null, '3295', 'Algirdo'
9, 'Studentų g. 39, Vilnius', '2', null, '3069', 'Saltoniškių'
10, 'Studentų g. 39, Vilnius', '2', null, '1240', 'Sėlių'
11, 'Žalioji g. 4, Vilnius', '2', null, '2759', 'Vytauto'
12, 'Blindžių g. 3, Vilnius', '2', null, '1957', 'Birutės'
13, 'Malūnų g. 5, Vilnius', '2', null, '1038', 'Dailės'
14, 'Filaretų g. 3, Vilnius', '2', null, '2482', 'Užupio'
15, 'A. Juozapavičiaus g. 12, Vilnius', '2', null, '3147', 'A. Juozapavičiaus'
16, 'Širvintų g. 82, Vilnius', '2', null, '3208', 'Licėjaus'
17, 'Širvintų g. 80, Vilnius', '2', null, '3672', 'Senvagės'
18, 'Konstitucijos pr. 3, Vilnius', '2', null, '2940', 'Konstitucijos'
19, 'Vilniaus g. 32, Vilnius', '2', null, '1745', 'Senamiesčio'
20, 'Naugarduko g. 7, Vilnius', '2', null, '2862', 'Naugarduko'
21, 'Aušros Vartų g. 23, Vilnius', '2', null, '1818', 'A. Vienuolio'
22, 'M. Daukšos g. 7, Vilnius', '2', null, '3205', 'M. Daukšos'
23, 'V. Šopeno g. 8, Vilnius', '2', null, '2251', 'V. Šopeno'
24, 'T. Kosciuškos g. 13, Vilnius', '3', null, '1879', 'Olandų'
25, 'Antakalnio g. 29, Vilnius', '3', null, '2921', 'L. Sapiegos'
26, 'Šilo g. 24, Vilnius', '3', null, '3232', 'Šilo'
27, 'Antakalnio g. 54, Vilnius', '3', null, '3140', 'Antakalnio'
28, 'Žolyno g. 15, Vilnius', '3', null, '3399', 'Švyturio'
29, 'Antakalnio g. 120, Vilnius', '3', null, '3523', 'B. Sruogos'
30, 'Saulėtekio al. 11, Vilnius', '3', null, '4219', 'Saulėtekio'
31, 'Antavilių g. 11, Vilnius', '3', null, '2333', 'Antavilių'
32, 'Keramikų g. 2, Vilnius', '3', null, '4394', 'Dvarčionių'
33, 'Bubilo g. 8, Vilnius', '3', null, '4368', 'Balsių'
34, 'Bubilo g. 8, Vilnius', '3', null, '3322', 'Popieriaus'
35, 'Žirmūnų g. 119, Vilnius', '4', null, '2433', 'Žirmūnų'
36, 'Žirmūnų g. 119, Vilnius', '4', null, '2529', 'Kareivių'
37, 'Žirmūnų g. 143, Vilnius', '4', null, '2990', 'Prekybininkų'
38, 'Žirmūnų g. 37, Vilnius', '4', null, '2183', 'Miestelio'
39, 'Žirmūnų g. 1B, Vilnius', '4', null, '2489', 'Moksleivių'
40, 'Žirmūnų g. 1E, Vilnius', '4', null, '2330', 'Raitininkų'
41, 'Žirmūnų g. 1E, Vilnius', '4', null, '2690', 'Sporto'
42, 'Kazliškių g. 4, Vilnius', '4', null, '1781', 'Kazliškių'
43, 'Kazliškių g. 4, Vilnius', '4', null, '2078', 'Rinktinės'
44, 'Tuskulėnų g. 31, Vilnius', '4', null, '1659', 'Tuskulėnų'
45, 'Tuskulėnų g. 31, Vilnius', '4', null, '1664', 'Trimitų'
46, 'Minties g. 3, Vilnius', '4', null, '1798', 'Minties'
47, 'Minties g. 3, Vilnius', '4', null, '3363', 'Asiūklių'
48, 'Kalvarijų g. 87, Vilnius', '4', null, '2238', 'Apkasų'
49, 'Kalvarijų g. 87, Vilnius', '4', null, '1752', 'Verkių'
