'1', null, '2017-03-14 01:41:24', null, '11', '1', '1'
'2', null, '2017-03-14 01:41:24', null, '12', '2', '1'
'3', null, '2017-03-14 01:41:24', null, '13', '3', '1'
'4', null, '2017-03-14 01:41:24', null, '14', '4', '1'
'5', null, '2017-03-14 01:41:24', null, '15', '5', '1'
'6', null, '2017-03-14 01:41:24', null, '16', '6', '1'
'7', null, '2017-03-14 01:41:24', null, '17', '7', '1'
'8', null, '2017-03-14 01:41:24', null, '18', '8', '1'
'9', null, '2017-03-14 01:41:24', null, '19', '1', '2'
'10', null, '2017-03-14 01:41:24', null, '20', '2', '2'
'11', null, '2017-03-14 01:41:24', null, '11', '3', '2'
'12', null, '2017-03-14 01:41:24', null, '12', '4', '2'
'13', null, '2017-03-14 01:41:24', null, '13', '5', '2'
'14', null, '2017-03-14 01:41:24', null, '14', '6', '2'
'15', null, '2017-03-14 01:41:24', null, '15', '7', '2'
'16', null, '2017-03-14 01:41:24', null, '16', '8', '2'
'17', null, '2017-03-14 01:41:24', null, '17', '1', '3'
'18', null, '2017-03-14 01:41:24', null, '18', '2', '3'
'19', null, '2017-03-14 01:41:24', null, '19', '3', '3'
'20', null, '2017-03-14 01:41:24', null, '20', '4', '3'
'21', null, '2017-03-14 01:41:24', null, '11', '5', '3'
'22', null, '2017-03-14 01:41:24', null, '12', '6', '3'
'23', null, '2017-03-14 01:41:24', null, '13', '7', '3'
'24', null, '2017-03-14 01:41:24', null, '14', '8', '3'
'25', null, '2017-03-14 01:41:24', null, '15', '1', '4'
'26', null, '2017-03-14 01:41:24', null, '16', '2', '4'
'27', null, '2017-03-14 01:41:24', null, '17', '3', '4'
'28', null, '2017-03-14 01:41:24', null, '18', '4', '4'
'29', null, '2017-03-14 01:41:24', null, '19', '5', '4'
'30', null, '2017-03-14 01:41:24', null, '20', '6', '4'
