'1', null, 'LSDP', 'Lietuvos socialdemokratų partija'
'2', null, 'TS-LKD', 'Tėvynės sąjunga - Lietuvos krikščionys demokratai'
'3', null, 'LLSL', 'Lietuvos laisvės sąjunga (liberalai)'
'4', null, 'TK-PKS', 'S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“'
'5', null, 'PTT', 'Partija Tvarka ir teisingumas'
'6', null, 'LVŽS', 'Lietuvos valstiečių ir žaliųjų sąjunga'
'7', null, 'LRLS', 'Lietuvos Respublikos liberalų sąjūdis'
'8', null, 'DP', 'Darbo partija'
'9', null, 'DK', '„Drąsos kelias“ politinė partija'
'10', null, 'LLP', 'Lietuvos liaudies partija'
'11', null, 'LLRA-KŠS', 'Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga'
'12', null, 'LŽP', 'Lietuvos žaliųjų partija'
'13', null, 'PP-LS', 'Politinė partija „Lietuvos sąrašas“'
'14', null, 'AK', 'Antikorupcinė N. Puteikio ir K. Krivicko koalicija'
'15', null, 'ŽP', 'Žemaičių partija'
'16', null, 'LKDP', 'Lietuvos krikščioniškosios demokratijos partija'
'17', null, 'PJL', 'Partija „Jaunoji Lietuva“'
'18', null, 'KULS', 'Kovotojų už Lietuvą sąjunga'
'19', null, 'EP', 'Emigrantų partija'
'20', null, 'LPP', 'Lietuvos pensininkų partija'
