'1', null, '2017-03-14 01:41:24', null, '11', '1', '1'
'2', null, '2017-03-14 01:41:24', null, '12', '2', '1'
'3', null, '2017-03-14 01:41:24', null, '13', '3', '1'
'4', null, '2017-03-14 01:41:24', null, '14', '4', '1'
'5', null, '2017-03-14 01:41:24', null, '15', '5', '2'
'6', null, '2017-03-14 01:41:24', null, '16', '6', '2'
'7', null, '2017-03-14 01:41:24', null, '17', '7', '2'
'8', null, '2017-03-14 01:41:24', null, '18', '8', '2'
'9', null, '2017-03-14 01:41:24', null, '19', '1', '3'
'10', null, '2017-03-14 01:41:24', null, '20', '2', '3'
'11', null, '2017-03-14 01:41:24', null, '11', '3', '3'
'12', null, '2017-03-14 01:41:24', null, '12', '4', '3'
'13', null, '2017-03-14 01:41:24', null, '13', '5', '4'
'14', null, '2017-03-14 01:41:24', null, '14', '6', '4'
'15', null, '2017-03-14 01:41:24', null, '15', '7', '4'
'16', null, '2017-03-14 01:41:24', null, '16', '8', '4'
'17', null, '2017-03-14 01:41:24', null, '17', '1', '5'
'18', null, '2017-03-14 01:41:24', null, '18', '2', '5'
'19', null, '2017-03-14 01:41:24', null, '19', '3', '5'
'20', null, '2017-03-14 01:41:24', null, '20', '4', '5'
'21', null, '2017-03-14 01:41:24', null, '11', '5', '6'
'22', null, '2017-03-14 01:41:24', null, '12', '6', '6'
'23', null, '2017-03-14 01:41:24', null, '13', '7', '6'
'24', null, '2017-03-14 01:41:24', null, '14', '8', '6'
'25', null, '2017-03-14 01:41:24', null, '15', '1', '7'
'26', null, '2017-03-14 01:41:24', null, '16', '2', '7'
'27', null, '2017-03-14 01:41:24', null, '17', '3', '7'
'28', null, '2017-03-14 01:41:24', null, '18', '4', '7'
'29', null, '2017-03-14 01:41:24', null, '19', '5', '8'
'30', null, '2017-03-14 01:41:24', null, '20', '6', '8'
