'1', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '11', '1', '1'
'2', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '12', '2', '1'
'3', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '13', '3', '1'
'4', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '14', '4', '1'
'5', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '15', '5', '1'
'6', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '16', '1', '2'
'7', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '17', '2', '2'
'8', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '18', '3', '2'
'9', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '19', '4', '2'
'10', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '20', '5', '2'
'11', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '11', '1', '3'
'12', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '12', '2', '3'
'13', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '13', '3', '3'
'14', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '14', '4', '3'
'15', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '15', '5', '3'
'16', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '16', '1', '4'
'17', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '17', '2', '4'
'18', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '18', '3', '4'
'19', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '19', '4', '4'
'20', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '20', '5', '4'
'21', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '11', '1', '5'
'22', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '12', '2', '5'
'23', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '13', '3', '5'
'24', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '14', '4', '5'
'25', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '15', '5', '5'
'26', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '16', '1', '6'
'27', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '17', '2', '6'
'28', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '18', '3', '6'
'29', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '19', '4', '6'
'30', null, '2017-03-14 01:41:24', '2017-03-14 01:41:24', '20', '5', '6'
